标	B-状态
的	I-状态
证	I-状态
券	I-状态
为	I-状态
债	I-状态
券	I-状态
的	O
，	O
应	O
当	O
符	O
合	O
下	O
列	O
条	B-key
件	I-key
：	O
（	O
一	O
）	O
债	B-value
券	I-value
托	I-value
管	I-value
面	I-value
值	I-value
在	I-value
1	I-value
亿	I-value
元	I-value
以	I-value
上	I-value
；	O
（	O
二	O
）	O
债	B-value
券	I-value
剩	I-value
余	I-value
期	I-value
限	I-value
在	I-value
一	I-value
年	I-value
以	I-value
上	I-value
；	O
（	O
三	O
）	O
债	B-value
券	I-value
信	I-value
用	I-value
评	I-value
级	I-value
达	I-value
到	I-value
A	I-value
A	I-value
级	I-value
（	I-value
含	I-value
）	I-value
以	I-value
上	I-value
；	O
（	O
四	O
）	O
本	B-value
所	I-value
规	I-value
定	I-value
的	I-value
其	I-value
他	I-value
条	I-value
件	I-value
。	O
