被	B-操作人
询	I-操作人
价	I-操作人
方	I-操作人
根	O
据	O
询	B-value
价	I-value
请	I-value
求	I-value
要	I-value
素	I-value
，	O
按	O
照	O
询	B-value
价	I-value
请	I-value
求	I-value
交	I-value
易	I-value
方	I-value
向	I-value
的	I-value
相	I-value
反	I-value
方	I-value
向	I-value
，	O
对	O
询	B-操作部分
价	I-操作部分
请	I-操作部分
求	I-操作部分
进	O
行	O
回	B-操作
复	I-操作
。	O
询	B-key
价	I-key
回	I-key
复	I-key
的	I-key
要	I-key
素	I-key
应	O
当	O
包	O
括	O
价	B-value
格	I-value
、	O
数	B-value
量	I-value
、	O
证	B-value
券	I-value
账	I-value
户	I-value
号	I-value
码	I-value
等	O
内	O
容	O
。	O
