红	B-操作人
筹	I-操作人
公	I-操作人
司	I-操作人
应	O
当	O
保	B-操作
证	I-操作
普	B-操作部分
通	I-操作部分
投	I-操作部分
票	I-操作部分
权	I-操作部分
比	I-操作部分
例	I-操作部分
不	B-op
得	I-op
低	I-op
于	I-op
1	B-value
0	I-value
%	I-value
,	O
并	O
且	O
有	O
权	O
提	B-操作
议	I-操作
召	B-操作部分
开	I-操作部分
临	I-操作部分
时	I-操作部分
股	I-操作部分
东	I-操作部分
大	I-操作部分
会	I-操作部分
；	O
提	B-key
出	I-key
股	I-key
东	I-key
大	I-key
会	I-key
议	I-key
案	I-key
的	I-key
股	I-key
东	I-key
所	I-key
需	I-key
拥	I-key
有	I-key
权	I-key
益	I-key
的	I-key
股	I-key
份	I-key
不	B-op
得	I-op
超	I-op
过	I-op
公	B-value
司	I-value
全	I-value
部	I-value
已	I-value
发	I-value
行	I-value
有	I-value
表	I-value
决	I-value
权	I-value
股	I-value
份	I-value
的	I-value
1	I-value
0	I-value
%	I-value
。	O
本	O
办	O
法	O
所	O
称	O
普	B-key
通	I-key
投	I-key
票	I-key
权	I-key
比	I-key
例	I-key
，	O
是	O
指	O
全	B-value
部	I-value
普	I-value
通	I-value
投	I-value
票	I-value
权	I-value
股	I-value
份	I-value
的	I-value
投	I-value
票	I-value
权	I-value
数	I-value
量	I-value
占	I-value
公	I-value
司	I-value
全	I-value
部	I-value
已	I-value
发	I-value
行	I-value
股	I-value
份	I-value
的	I-value
投	I-value
票	I-value
权	I-value
数	I-value
量	I-value
的	I-value
比	I-value
例	I-value
。	O
