红	B-状态
筹	I-状态
公	I-状态
司	I-状态
对	I-状态
战	I-状态
略	I-状态
投	I-状态
资	I-状态
者	I-状态
及	I-状态
其	I-状态
他	I-状态
有	I-状态
限	I-状态
售	I-状态
安	I-状态
排	I-状态
的	I-状态
投	I-状态
资	I-状态
者	I-状态
在	I-状态
境	I-状态
内	I-状态
配	I-状态
售	I-状态
或	I-状态
者	I-状态
定	I-状态
向	I-状态
发	I-状态
行	I-状态
股	I-状态
票	I-状态
或	I-状态
存	I-状态
托	I-状态
凭	I-状态
证	I-状态
的	O
，	O
相	B-事件
关	I-事件
股	I-事件
票	I-事件
或	I-事件
者	I-事件
存	I-事件
托	I-事件
凭	I-事件
证	I-事件
限	I-事件
售	I-事件
期	I-事件
届	I-事件
满	I-事件
后	O
，	O
应	O
当	O
按	B-操作
照	I-操作
《	B-操作部分
上	I-操作部分
市	I-操作部分
规	I-操作部分
则	I-操作部分
》	I-操作部分
及	I-操作部分
本	I-操作部分
所	I-操作部分
其	I-操作部分
他	I-操作部分
业	I-操作部分
务	I-操作部分
规	I-操作部分
定	I-操作部分
，	O
向	O
本	B-系统
所	I-系统
提	B-操作
交	I-操作
上	B-操作部分
市	I-操作部分
流	I-操作部分
通	I-操作部分
申	I-操作部分
请	I-操作部分
文	I-操作部分
件	I-操作部分
。	O
股	B-事件
票	I-事件
或	I-事件
存	I-事件
托	I-事件
凭	I-事件
证	I-事件
上	I-事件
市	I-事件
流	I-事件
通	I-事件
申	I-事件
请	I-事件
经	I-事件
本	I-事件
所	I-事件
同	I-事件
意	I-事件
后	O
，	O
公	B-操作人
司	I-操作人
应	O
当	O
在	B-时间
相	I-时间
关	I-时间
股	I-时间
票	I-时间
或	I-时间
存	I-时间
托	I-时间
凭	I-时间
证	I-时间
上	I-时间
市	I-时间
流	I-时间
通	I-时间
前	I-时间
三	I-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
内	I-时间
披	B-操作
露	I-操作
提	B-操作部分
示	I-操作部分
性	I-操作部分
公	I-操作部分
告	I-操作部分
，	O
上	B-key
市	I-key
流	I-key
通	I-key
提	I-key
示	I-key
性	I-key
公	I-key
告	I-key
应	O
当	O
包	O
括	O
以	O
下	O
内	O
容	O
：	O
（	O
一	O
）	O
限	B-value
售	I-value
股	I-value
份	I-value
或	I-value
存	I-value
托	I-value
凭	I-value
证	I-value
的	I-value
上	I-value
市	I-value
流	I-value
通	I-value
时	I-value
间	I-value
和	I-value
数	I-value
量	I-value
；	O
（	O
二	O
）	O
有	B-value
关	I-value
股	I-value
东	I-value
或	I-value
者	I-value
持	I-value
有	I-value
人	I-value
所	I-value
作	I-value
出	I-value
的	I-value
限	I-value
售	I-value
承	I-value
诺	I-value
及	I-value
其	I-value
履	I-value
行	I-value
情	I-value
况	I-value
;	O
（	O
三	O
）	O
本	B-value
所	I-value
要	I-value
求	I-value
的	I-value
其	I-value
他	I-value
内	I-value
容	I-value
。	O
