持	B-操作人
有	I-操作人
特	I-操作人
别	I-操作人
投	I-操作人
票	I-操作人
权	I-操作人
股	I-操作人
份	I-操作人
的	I-操作人
股	I-操作人
东	I-操作人
应	O
当	O
按	B-操作
照	I-操作
所	B-操作部分
适	I-操作部分
用	I-操作部分
的	I-操作部分
法	I-操作部分
律	I-操作部分
以	I-操作部分
及	I-操作部分
公	I-操作部分
司	I-操作部分
章	I-操作部分
程	I-操作部分
行	I-操作部分
使	I-操作部分
权	I-操作部分
利	I-操作部分
，	O
不	B-操作
得	I-操作
滥	I-操作
用	I-操作
特	B-操作部分
别	I-操作部分
投	I-操作部分
票	I-操作部分
权	I-操作部分
，	O
不	B-操作
得	I-操作
利	I-操作
用	I-操作
特	B-操作部分
别	I-操作部分
投	I-操作部分
票	I-操作部分
权	I-操作部分
损	I-操作部分
害	I-操作部分
境	I-操作部分
内	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
的	I-操作部分
合	I-操作部分
法	I-操作部分
权	I-操作部分
益	I-操作部分
。	O
出	B-状态
现	I-状态
前	I-状态
款	I-状态
情	I-状态
形	I-状态
，	I-状态
损	I-状态
害	I-状态
境	I-状态
内	I-状态
投	I-状态
资	I-状态
者	I-状态
合	I-状态
法	I-状态
权	I-状态
益	I-状态
的	O
，	O
本	B-系统
所	I-系统
可	O
以	O
要	B-操作
求	I-操作
红	B-操作部分
筹	I-操作部分
公	I-操作部分
司	I-操作部分
及	I-操作部分
特	I-操作部分
别	I-操作部分
投	I-操作部分
票	I-操作部分
权	I-操作部分
股	I-操作部分
东	I-操作部分
予	B-操作
以	I-操作
改	I-操作
正	I-操作
。	O
