已	B-操作人
在	I-操作人
境	I-操作人
外	I-操作人
上	I-操作人
市	I-操作人
红	I-操作人
筹	I-操作人
公	I-操作人
司	I-操作人
可	O
以	O
根	B-操作
据	I-操作
境	B-操作部分
外	I-操作部分
上	I-操作部分
市	I-操作部分
地	I-操作部分
规	I-操作部分
则	I-操作部分
要	I-操作部分
求	I-操作部分
，	O
决	B-操作
定	I-操作
是	B-操作部分
否	I-操作部分
披	I-操作部分
露	I-操作部分
业	I-操作部分
绩	I-操作部分
预	I-操作部分
告	I-操作部分
、	I-操作部分
业	I-操作部分
绩	I-操作部分
快	I-操作部分
报	I-操作部分
和	I-操作部分
盈	I-操作部分
利	I-操作部分
预	I-操作部分
测	I-操作部分
。	O
公	B-状态
司	I-状态
在	I-状态
境	I-状态
外	I-状态
上	I-状态
市	I-状态
地	I-状态
披	I-状态
露	I-状态
上	I-状态
述	I-状态
信	I-状态
息	I-状态
的	O
，	O
应	O
当	O
在	O
境	O
内	O
市	O
场	O
同	B-操作
步	I-操作
披	I-操作
露	I-操作
。	O
公	B-状态
司	I-状态
披	I-状态
露	I-状态
业	I-状态
绩	I-状态
预	I-状态
告	I-状态
、	I-状态
业	I-状态
绩	I-状态
快	I-状态
报	I-状态
和	I-状态
盈	I-状态
利	I-状态
预	I-状态
测	I-状态
的	O
，	O
应	O
当	O
谨	O
慎	O
、	O
客	O
观	O
，	O
不	B-操作
得	I-操作
使	I-操作
用	I-操作
夸	B-操作部分
大	I-操作部分
、	I-操作部分
模	I-操作部分
糊	I-操作部分
或	I-操作部分
者	I-操作部分
误	I-操作部分
导	I-操作部分
性	I-操作部分
陈	I-操作部分
述	I-操作部分
，	O
不	B-操作
得	I-操作
利	I-操作
用	I-操作
该	B-操作部分
等	I-操作部分
信	I-操作部分
息	I-操作部分
不	B-操作
当	I-操作
影	I-操作
响	I-操作
公	B-操作部分
司	I-操作部分
股	I-操作部分
票	I-操作部分
、	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
及	I-操作部分
其	I-操作部分
衍	I-操作部分
生	I-操作部分
品	I-操作部分
种	I-操作部分
交	I-操作部分
易	I-操作部分
价	I-操作部分
格	I-操作部分
。	O
